104,174,"2002-11-19","2002-10-24","George Thomas","Guy Worth","","Maida Vale 4"
105,175,"1996-10-19","1996-10-15","Andy Rogers","Simon Askew","","Glasgow O.B."
105,176,"1997-03-25","1997-03-04","Mike Robinson","James Birtwistle","","Maida Vale 4"
105,177,"1998-03-10","1998-02-10","Mike Robinson","Nick King","","Maida Vale 4"
105,178,"2000-03-14","2000-03-12","Andrew Rogers","Mike Walters","","Garageglasgow"
105,179,"0000-00-00","0000-00-00","","","","Artist's own studio"
106,180,"1994-04-23","1994-03-20","Mike Engles","Fred Kay","","Maida Vale 3"
106,181,"1994-11-04","1994-09-22","Ted De Bono","Julia Carney","","Maida Vale 4"
109,182,"1972-04-25","1972-04-04","Pete Ritzema","Unknown","","Maida Vale 4"
110,183,"1986-06-20","1986-05-30","Tony Wilson","Unknown","","Maida Vale 4"
111,184,"1991-02-24","1990-12-04","Mike Robinson","Mike Robinson","","Maida Vale 5"
113,185,"1981-07-28","1981-07-20","Tony Wilson","Dave Dade","","Maida Vale 4"
113,186,"1982-02-15","1982-01-30","Dale Griffin","Mike Robinson","","Maida Vale 4"
114,187,"1970-02-14","1970-02-09","John Walters","Tony Wilson","","Playhouse Theatre, Northumberland Avenue"
115,188,"1972-01-14","1971-12-28","John Muir","Unknown","","Studio T1, Transcription Service, Kensington House"
115,189,"1972-09-08","1972-08-29","John Muir","Unknown","","Studio T1, Transcription Service, Kensington House"
115,190,"1972-09-19","1972-09-05","Unknown","Bob Conduct","","Maida Vale 4"
116,191,"1981-10-23","1981-10-02","Kevin Howlett","Tony Wilson","Anthony Pugh","Unknown"
118,192,"2003-10-21","2003-10-01","Daniel Holt","","","Artist's own studio"
119,193,"1994-04-30","1994-04-03","Mike Engles","Mike Walter","","Maida Vale 3"
119,194,"1995-06-23","1995-06-23","","","",""
119,195,"1996-04-27","1996-04-14","Mike Engles","Kevin Rumble","","Maida Vale 3"
119,196,"2001-06-07","2001-06-07","Sam Cunningham","Miti Adhikari","","Maida Vale 4"
120,197,"2001-12-12","2001-09-21","","","",""
122,198,"1981-05-04","1981-04-28","Dale Griffin","Mike Robinson","","Langham 1"
122,199,"1982-04-19","1982-03-06","Dale Griffin","Mike Robinson","","Maida Vale 4"
123,200,"0000-00-00","2001-03-21","Simon Askew","","","Maida Vale 4"
124,201,"1998-10-07","1998-08-18","Mike Robinson","Nick Fountain","","Maida Vale 4"
125,202,"1976-09-02","1976-08-10","Tony Wilson","Bill Aitken","Nick Gomm","Maida Vale 4"
125,203,"1978-12-18","1978-10-10","Malcolm Brown","Ted De Bono","","Maida Vale 4"
126,204,"0000-00-00","1999-03-19","Andrew Rogers","","","Queen Ellizabeth Hall, London"
127,205,"1980-05-12","1980-04-30","John Etchells","Nick Gomm","","Maida Vale 4"
128,206,"1971-03-30","1971-03-22","Malcolm Brown","Mike Harding","Mike Franks","Maida Vale 5"
129,207,"1980-12-10","1980-12-03","Bob Sargeant","Nick Gomm","","Langham 1"
130,208,"1982-06-30","1982-06-09","Roger Pusey","Unknown","","Maida Vale 4"
130,209,"1983-03-29","1983-03-14","John Porter","Martin Colley","","Maida Vale 4"
131,210,"1992-10-16","1992-10-14","","","","Budapest"
132,211,"1979-10-09","1979-10-26","Bob Sargeant","Nick Gomm","","Maida Vale 4"
132,212,"1980-06-12","1980-05-28","Dale Griffin","Nick Gomm","","Maida Vale 4"
132,213,"1981-01-28","1981-01-21","Chris Lycett","Nick Gomm","","Langham 1"
132,214,"1982-03-31","1982-03-15","Tony Wilson","Dave Dade","","Maida Vale 4"
133,215,"1995-10-13","1995-08-30","","","","Artist's own studio"
133,216,"1998-01-30","1998-06-20","Andrew Rogers","Simon Askew","","Queen Ellizabeth Hall, London"
133,217,"0000-00-00","1999-07-05","","","","Artist's own studio"
134,218,"1996-03-08","1996-02-20","Mike Robinson","Julian Markham","","Maida Vale 4"
135,219,"1996-08-03","1996-06-25","","","",""
136,220,"1984-03-05","1984-02-25","Dale Griffin","Martin Colley","","Maida Vale 5"
139,221,"1990-09-29","1990-09-09","Dale Griffin","Mike Engles","Rupert Flindt","Maida Vale 3"
139,222,"1991-06-30","1991-06-11","Ted De Bono","Fred Kay","Alison Chorley","Unknown"
139,223,"1991-12-22","1991-08-18","Dale Griffin","Martin Colley","Paul Roberts","Maida Vale 3"
139,224,"1992-07-25","1992-07-11","James Birtwistle","James Birtwistle","Dave Mccarthy","Maida Vale 4"
139,225,"1995-06-16","1995-05-07","Mike Engles","Adam Askew","","Maida Vale 3"
139,226,"1995-08-27","1995-08-27","Miti Adhikari","","","Reading Festival '95"
141,227,"1972-11-21","1972-10-30","John Walters","Pete Dauncey","Unknown","Studio T1, Transcription Service, Kensington House"
141,228,"1973-06-21","1973-06-18","Bernie Andrews","Unknown","","Langham 1"
141,229,"1973-07-03","1973-06-26","John Walters","Unknown","","Langham 1"
141,230,"1973-10-25","1973-10-01","Bernie Andrews","Unknown","","Langham 1"
141,231,"1974-09-12","1974-09-05","Tony Wilson","Unknown","","Langham 1"
142,232,"1997-01-04","1996-12-08","Mike Engles","Julian Markham","","Maida Vale 4"
143,233,"1987-03-10","1987-02-24","Dale Griffin","Mike Robinson","Tim Durham","Unknown"
144,234,"1993-09-04","1993-07-24","Ted De Bono","Adam Askew","","Maida Vale 5"
145,235,"1995-02-24","1995-01-24","Mike Robinson","Ralph Jordan","","Maida Vale 4"
147,236,"1993-02-05","1992-12-06","Mike Engles","Jon Leowg","","Maida Vale 3"
148,237,"2000-03-21","2000-01-30","Mike Engles","James Birtwistle","","Maida Vale 3"
148,238,"2002-02-27","2002-02-27","Andy Rogers","Simon Askew","","Maida Vale 4"
148,239,"2003-09-25","2003-02-16","George Thomas","Nick Scripps","","Maida Vale 4"
148,240,"2003-12-23","2003-12-23","Andy Rogers","Goerge","","Peel Acres"
149,241,"1981-09-03","1981-08-28","Dale Griffin","Mike Engles","","Maida Vale 4"
150,242,"1994-02-11","1994-01-09","Mike Engles","Sue Cockburn","","Maida Vale 3"
151,243,"1988-10-11","1988-10-04","Mike Robinson","Mike Robinson","","Maida Vale 4"
151,244,"1989-07-13","1989-07-02","Dale Griffin","Mike Robinson","","Maida Vale 3"
152,245,"1978-01-13","1977-12-14","Malcolm Brown","Nick Gomm","","Unknown"
153,246,"1993-01-02","1992-11-11","Bandulu","","","Artist's own studio"
153,247,"1995-07-28","1995-06-22","Nick Gomm","Gary Parker","","Maida Vale 4"
153,248,"1996-04-06","0000-00-00","","","","Artist's own studio"
154,249,"1992-02-15","1992-01-28","Mike Robinson","Mike Robinson","","Maida Vale 4"
155,250,"1997-07-23","1997-07-02","Simon Askew","","","Maida Vale 5"
156,251,"2002-11-13","2002-10-10","Miti Adhikari","Guy Worth","","Maida Vale 4"
157,252,"1990-02-12","1990-01-02","Dale Griffin","Mike Robinson","","Maida Vale 3"
157,253,"1991-11-30","1991-10-06","Dale Griffin","Mike Engles","Paul Fahey","Maida Vale 3"
158,254,"2003-08-28","2003-08-18","Simon Askew","Jerry","","Maida Vale 4"
159,255,"1968-05-05","1968-04-23","Bernie Andrews","Dave Tate","","201 Piccadilly, Studio 1"
159,256,"1972-01-14","1971-12-20","John Muir","Unknown","","Unknown"
159,257,"1972-02-08","1972-02-01","Pete Ritzema","Bob Conduct","","Maida Vale 4"
159,258,"1974-08-08","1974-08-01","Tony Wilson","Unknown","","Langham 1"
160,259,"0000-00-00","2000-04-09","Andy Rogers","","","Camber Sands"
160,260,"0000-00-00","2001-05-20","Mike Engles","Kevin Rumble","","Maida Vale 4"
160,261,"0000-00-00","2004-03-25","Mike Walter","Nick Scripps","","Maida Vale 4"
161,262,"1992-06-06","1992-05-05","Mike Robinson","Mike Robinson","","Maida Vale 4"
162,263,"1990-10-14","1990-09-30","Dale Griffin","Miti Adhikari","Paul Long","Maida Vale 3"
162,264,"1994-03-11","1994-02-10","Nick Gomm","Julian Markham","","Maida Vale 4"
164,265,"1993-10-22","1993-09-07","Ted De Bono","Steve Bridges","","Maida Vale 4"
165,266,"1980-04-28","1980-04-21","Tony Wilson","Dave Dade","","Maida Vale 4"
166,267,"1983-05-03","1983-04-25","Tony Wilson","Martin Colley","","Maida Vale 4"
167,268,"1988-02-15","1988-02-07","Dale Griffin","Unknown","","Unknown"
167,269,"1988-11-09","1988-11-01","Mike Robinson","Mike Robinson","","Maida Vale 4"
168,270,"1990-01-29","1990-01-14","Dale Griffin","Mike Engles","","Maida Vale 3"
168,271,"1990-07-23","1990-07-01","Dale Griffin","Mike Engles","Paul Allen","Maida Vale 3"
169,272,"1974-05-30","1974-05-16","Tony Wilson","Bill Aitken","","Langham 1"
170,273,"1980-01-03","1979-12-04","John Sparrow","Mike Robinson","","Unknown"
170,274,"1982-04-12","1982-03-13","Dale Griffin","Martin Colley","","Maida Vale 4"
171,275,"2002-01-15","2002-01-11","","","","Groningen Fes"
171,276,"2002-03-06","2002-03-06","Andy Rogers","Simon Askew","","Maida Vale 4"
171,277,"2002-10-30","2002-10-30","Sam Cunningham","Miti Adhikari","","Boat Club"
171,278,"2004-04-07","2004-04-07","Andy Rogers","George","","Maida Vale 4"
172,279,"1973-11-27","1973-11-06","Tony Wilson","Bob Conduct","","Langham 1"
172,280,"1974-05-23","1974-05-09","Tony Wilson","Bill Aitken","","Langham 1"
172,281,"1975-03-17","1975-03-11","Tony Wilson","Bill Aitken","","Maida Vale 4"
172,282,"1976-02-23","1976-02-10","Tony Wilson","Mike Robinson","","Maida Vale 4"
172,283,"1977-01-25","1977-01-17","Tony Wilson","Dave Dade","","Maida Vale 4"
172,284,"1978-02-06","1978-01-30","Tony Wilson","Dave Dade","","Maida Vale 4"
174,285,"1993-07-17","1993-06-05","Bear Quartet","","","Sweden"
175,286,"0000-00-00","2001-06-20","Miti Adhikari","Jaimie Hart","","Maida Vale 4"
