id	name	image	biog	url_key
304	Buick 6	NULL	NULL	w4rgw
305	Building 44	NULL	NULL	9chj9
306	Bulllet	NULL	NULL	drzfd
307	Burning Love Jumpsuit	NULL	NULL	6hgb6
308	Butterflies Of Love	NULL	NULL	xzjwx
309	Butterfly Child	NULL	NULL	pgf9p
310	Buttsteak	NULL	NULL	3jbd3
311	Buy Off The Bar	NULL	NULL	mfw6m
312	Buzzcocks	NULL	NULL	2b9x2
313	Byzantium	NULL	NULL	nwdpn
314	C.S.L.M.	NULL	NULL	q963q
315	Cabaret Voltaire	NULL	NULL	5dxm5
316	Cable	NULL	NULL	86p28
317	Cado Belle	NULL	NULL	vx3nv
318	Cajun Moon	NULL	NULL	4pmq4
319	Calexico	NULL	NULL	c325c
320	Calvin Party	NULL	NULL	rmn8r
321	Camel	NULL	NULL	h2qvh
322	Camera Obscura	NULL	NULL	zn54z
323	Camper Van Beethoven	NULL	NULL	g5vrj
324	Can	NULL	NULL	j84hf
325	Cane 151	NULL	NULL	fvczb
326	Capital Letters	NULL	NULL	b4rgw
327	Capitols	NULL	NULL	wchj9
328	Captain Beefheart	NULL	NULL	9rzfd
329	Captain Sensible	NULL	NULL	dhgb6
330	Caravan	NULL	NULL	6zjwx
331	Carcass	NULL	NULL	xgf9p
332	Carnastoan	NULL	NULL	pjbd3
333	Carol Grimes	NULL	NULL	3fw6m
334	Caroline Martin	NULL	NULL	mb9x2
335	Carpettes	NULL	NULL	2wdpn
336	Caspar Brotzmann Massaker	NULL	NULL	n963q
337	Cass Mccombs	NULL	NULL	qdxm5
338	Cat On Form	NULL	NULL	56p28
339	Cat Power	NULL	NULL	8x3nv
340	Cat Stevens	NULL	NULL	vpmq4
341	Catapult	NULL	NULL	4325c
342	Catatonia	NULL	NULL	cmn8r
343	Cathal Coughlan & The Fatima Mansions	NULL	NULL	r2qvh
344	Catherine Wheel	NULL	NULL	hn54z
345	Catheters	NULL	NULL	zq8cg
346	Cathy Martin	NULL	NULL	g84hf
347	Cats Against The Bomb	NULL	NULL	jvczb
348	Cause And Effect	NULL	NULL	f4rgw
349	Cay	NULL	NULL	bchj9
350	Cee Bee Beaumont	NULL	NULL	wrzfd
351	Cell	NULL	NULL	9hgb6
352	Centromatic	NULL	NULL	dzjwx
