artist_id	id	tx_date	record_date	producer	engineer1	engineer2	studio	url_key
1443	2480	1968-08-11	1968-06-25	Bernie Andrews	Dave Tate		201 Piccadilly, Studio 1	nngb6
1443	2481	1968-12-15	1968-12-02	Bernie Andrews	Unknown		Maida Vale 4	qqjwx
1443	2482	1969-05-14	1969-05-12	Pete Ritzema	Chris Lycett	Allen Harris	Paris Cinema, Lower Regent Street	55f9p
1443	2483	1970-07-19	1970-07-16	Jeff Griffin	Unknown			88bd3
1444	2484	1982-01-18	1982-01-04	Tony Wilson	Dave Dade		Maida Vale 4	vvw6m
1444	2485	1982-11-16	1982-10-25	Tony Wilson	Dave Dade		Maida Vale 4	449x2
1444	2486	1983-08-23	1983-08-13	Dale Griffin	Martin Colley		Unknown	ccdpn
1444	2487	1984-05-08	1984-04-25	Paul Smith	Nick Gomm		Maida Vale 5	rr63q
1445	2488	1995-04-08	1995-02-24	Gregor Reid			BH Glasgow	hhxm5
1446	2489	1979-11-26	1979-11-14	Bob Sargeant	Nick Gomm		Maida Vale 4	zzp28
1446	2490	1980-06-05	1980-05-27	Bob Sargeant	Mike Robinson		Maida Vale 4	gj25c
1447	2491	1984-07-03	1984-06-23	Dale Griffin	Martin Colley		Maida Vale 5	jfn8r
1447	2492	1985-05-01	1985-04-16	Andre Jacquemin	Unknown		Maida Vale 5	fbqvh
1448	2493	1991-05-25	1991-04-28	Dale Griffin	Mike Engles	Dave Mccarthy	Maida Vale 3	bw54z
1448	2494	1993-05-01	1993-03-30	Simon Askew	Simon Askew		Maida Vale 4	w98cg
1449	2495	1988-05-16	1988-05-03	Mike Robinson	Mike Robinson		Maida Vale 4	9dvrj
1449	2496	1988-10-18	1988-10-09	Dale Griffin	James Birtwistle		The Hippodrome, Golders Green, London	d64hf
1449	2497	1989-05-02	1989-04-16	Dale Griffin	Mike Walter		Maida Vale 3	6xczb
1449	2498	NULL	1990-06-11	Pixies	Guy Fixsen		Protocol	xprgw
